keyword,year,value,index
PRIDE ITEMS,2016,0,0
PRIDE ITEMS,2017,0,0
PRIDE ITEMS,2018,0,0
PRIDE ITEMS,2019,0,0
PRIDE ITEMS,2020,77,90.58823529411765
PRIDE ITEMS,2021,40,47.05882352941176
PRIDE ITEMS,2022,85,100
PRIDE ITEMS,2023,83,97.6470588235294
PRIDE ITEMS,2024,0,0
PRIDE ITEMS,2025,61,71.76470588235294
PRIDE MONTH,2016,0,0
PRIDE MONTH,2017,0,0
PRIDE MONTH,2018,0,0
PRIDE MONTH,2019,0,0
PRIDE MONTH,2020,13,2.631578947368421
PRIDE MONTH,2021,149,30.16194331983806
PRIDE MONTH,2022,124,25.101214574898783
PRIDE MONTH,2023,0,0
PRIDE MONTH,2024,494,100
PRIDE MONTH,2025,77,15.587044534412955
PRIDE PEN,2016,0,0
PRIDE PEN,2017,0,0
PRIDE PEN,2018,0,0
PRIDE PEN,2019,0,0
PRIDE PEN,2020,0,0
PRIDE PEN,2021,0,0
PRIDE PEN,2022,0,0
PRIDE PEN,2023,0,0
PRIDE PEN,2024,0,0
PRIDE PEN,2025,35,100
PRIDE PINS,2016,0,0
PRIDE PINS,2017,0,0
PRIDE PINS,2018,0,0
PRIDE PINS,2019,0,0
PRIDE PINS,2020,0,0
PRIDE PINS,2021,0,0
PRIDE PINS,2022,0,0
PRIDE PINS,2023,0,0
PRIDE PINS,2024,0,0
PRIDE PINS,2025,39,100
PRIDE RAINBOW,2016,0,0
PRIDE RAINBOW,2017,0,0
PRIDE RAINBOW,2018,0,0
PRIDE RAINBOW,2019,0,0
PRIDE RAINBOW,2020,0,0
PRIDE RAINBOW,2021,0,0
PRIDE RAINBOW,2022,424,100
PRIDE RAINBOW,2023,0,0
PRIDE RAINBOW,2024,0,0
PRIDE RAINBOW,2025,0,0
PRIDE SLIDES,2016,0,NA
PRIDE SLIDES,2017,0,NA
PRIDE SLIDES,2018,0,NA
PRIDE SLIDES,2019,0,NA
PRIDE SLIDES,2020,0,NA
PRIDE SLIDES,2021,0,NA
PRIDE SLIDES,2022,0,NA
PRIDE SLIDES,2023,0,NA
PRIDE SLIDES,2024,0,NA
PRIDE SLIDES,2025,0,NA
PRIDE SUNGLASSES,2016,0,0
PRIDE SUNGLASSES,2017,0,0
PRIDE SUNGLASSES,2018,0,0
PRIDE SUNGLASSES,2019,0,0
PRIDE SUNGLASSES,2020,0,0
PRIDE SUNGLASSES,2021,0,0
PRIDE SUNGLASSES,2022,330,100
PRIDE SUNGLASSES,2023,225,68.18181818181817
PRIDE SUNGLASSES,2024,184,55.757575757575765
PRIDE SUNGLASSES,2025,43,13.030303030303031
PRIDE WRIST STRAP,2016,0,0
PRIDE WRIST STRAP,2017,0,0
PRIDE WRIST STRAP,2018,0,0
PRIDE WRIST STRAP,2019,0,0
PRIDE WRIST STRAP,2020,0,0
PRIDE WRIST STRAP,2021,0,0
PRIDE WRIST STRAP,2022,0,0
PRIDE WRIST STRAP,2023,0,0
PRIDE WRIST STRAP,2024,0,0
PRIDE WRIST STRAP,2025,72,100
RAINBOW GAY PRIDE,2016,0,0
RAINBOW GAY PRIDE,2017,0,0
RAINBOW GAY PRIDE,2018,32,30.76923076923077
RAINBOW GAY PRIDE,2019,0,0
RAINBOW GAY PRIDE,2020,104,100
RAINBOW GAY PRIDE,2021,0,0
RAINBOW GAY PRIDE,2022,0,0
RAINBOW GAY PRIDE,2023,0,0
RAINBOW GAY PRIDE,2024,0,0
RAINBOW GAY PRIDE,2025,0,0
RAINBOW PRIDE,2016,0,0
RAINBOW PRIDE,2017,0,0
RAINBOW PRIDE,2018,42,4.646017699115045
RAINBOW PRIDE,2019,904,100
RAINBOW PRIDE,2020,17,1.8805309734513276
RAINBOW PRIDE,2021,402,44.469026548672566
RAINBOW PRIDE,2022,52,5.752212389380531
RAINBOW PRIDE,2023,877,97.01327433628319
RAINBOW PRIDE,2024,57,6.3053097345132745
RAINBOW PRIDE,2025,49,5.420353982300885
TRANS PRIDE COFFEE,2016,0,0
TRANS PRIDE COFFEE,2017,0,0
TRANS PRIDE COFFEE,2018,0,0
TRANS PRIDE COFFEE,2019,0,0
TRANS PRIDE COFFEE,2020,168,100
TRANS PRIDE COFFEE,2021,0,0
TRANS PRIDE COFFEE,2022,0,0
TRANS PRIDE COFFEE,2023,0,0
TRANS PRIDE COFFEE,2024,0,0
TRANS PRIDE COFFEE,2025,0,0
