keyword,year,value,index,total_searches
Pride Giveaway,2025,0,0,253
Gay,2016,0,0,172
Gay,2017,0,0,172
Gay,2018,6,7.0588235294117645,172
Gay,2019,64,75.29411764705883,172
Gay,2020,17,20,172
Gay,2021,0,0,172
Gay,2022,0,0,172
Gay,2023,0,0,172
Gay,2024,85,100,172
Gay,2025,0,0,172
Trans Pride Coffee,2016,0,0,168
Trans Pride Coffee,2017,0,0,168
Trans Pride Coffee,2018,0,0,168
Trans Pride Coffee,2019,0,0,168
Trans Pride Coffee,2020,168,100,168
Trans Pride Coffee,2021,0,0,168
Trans Pride Coffee,2022,0,0,168
Trans Pride Coffee,2023,0,0,168
Trans Pride Coffee,2024,0,0,168
Trans Pride Coffee,2025,0,0,168
Pride Hand Fans,2016,0,0,154
Pride Hand Fans,2017,0,0,154
Pride Hand Fans,2018,0,0,154
Pride Hand Fans,2019,0,0,154
Pride Hand Fans,2020,0,0,154
Pride Hand Fans,2021,0,0,154
Pride Hand Fans,2022,0,0,154
Pride Hand Fans,2023,116,100,154
Pride Hand Fans,2024,0,0,154
Pride Hand Fans,2025,38,32.758620689655174,154
Rainbow Gay Pride,2016,0,0,136
Rainbow Gay Pride,2017,0,0,136
Rainbow Gay Pride,2018,32,30.76923076923077,136
Rainbow Gay Pride,2019,0,0,136
Rainbow Gay Pride,2020,104,100,136
Rainbow Gay Pride,2021,0,0,136
Rainbow Gay Pride,2022,0,0,136
Rainbow Gay Pride,2023,0,0,136
Rainbow Gay Pride,2024,0,0,136
Rainbow Gay Pride,2025,0,0,136
Lgbtq Lapel Pin,2016,0,0,129
Lgbtq Lapel Pin,2017,0,0,129
Lgbtq Lapel Pin,2018,0,0,129
Lgbtq Lapel Pin,2019,0,0,129
Lgbtq Lapel Pin,2020,0,0,129
Lgbtq Lapel Pin,2021,0,0,129
Lgbtq Lapel Pin,2022,0,0,129
Lgbtq Lapel Pin,2023,129,100,129
Lgbtq Lapel Pin,2024,0,0,129
Lgbtq Lapel Pin,2025,0,0,129
Lgbt,2016,0,0,116
Lgbt,2017,0,0,116
Lgbt,2018,48,77.41935483870968,116
Lgbt,2019,6,9.67741935483871,116
Lgbt,2020,0,0,116
Lgbt,2021,0,0,116
Lgbt,2022,0,0,116
Lgbt,2023,62,100,116
Lgbt,2024,0,0,116
Lgbt,2025,0,0,116
Pride Wrist Strap,2016,0,0,72
Pride Wrist Strap,2017,0,0,72
Pride Wrist Strap,2018,0,0,72
Pride Wrist Strap,2019,0,0,72
Pride Wrist Strap,2020,0,0,72
Pride Wrist Strap,2021,0,0,72
Pride Wrist Strap,2022,0,0,72
Pride Wrist Strap,2023,0,0,72
Pride Wrist Strap,2024,0,0,72
Pride Wrist Strap,2025,72,100,72
Pride Celebration Fan,2016,0,0,67
Pride Celebration Fan,2017,0,0,67
Pride Celebration Fan,2018,0,0,67
Pride Celebration Fan,2019,0,0,67
Pride Celebration Fan,2020,0,0,67
Pride Celebration Fan,2021,0,0,67
Pride Celebration Fan,2022,0,0,67
Pride Celebration Fan,2023,0,0,67
Pride Celebration Fan,2024,0,0,67
Pride Celebration Fan,2025,67,100,67
Pride Pins,2016,0,0,39
Pride Pins,2017,0,0,39
Pride Pins,2018,0,0,39
Pride Pins,2019,0,0,39
Pride Pins,2020,0,0,39
Pride Pins,2021,0,0,39
Pride Pins,2022,0,0,39
Pride Pins,2023,0,0,39
Pride Pins,2024,0,0,39
Pride Pins,2025,39,100,39
Lgbt Rainbow Pride Hand Folding Fan,2016,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2017,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2018,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2019,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2020,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2021,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2022,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2023,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2024,0,0,36
Lgbt Rainbow Pride Hand Folding Fan,2025,36,100,36
Pride Pen,2016,0,0,35
Pride Pen,2017,0,0,35
Pride Pen,2018,0,0,35
Pride Pen,2019,0,0,35
Pride Pen,2020,0,0,35
Pride Pen,2021,0,0,35
Pride Pen,2022,0,0,35
Pride Pen,2023,0,0,35
Pride Pen,2024,0,0,35
Pride Pen,2025,35,100,35
Pride Bites,2016,0,NA,0
Pride Bites,2017,0,NA,0
Pride Bites,2018,0,NA,0
Pride Bites,2019,0,NA,0
Pride Bites,2020,0,NA,0
Pride Bites,2021,0,NA,0
Pride Bites,2022,0,NA,0
Pride Bites,2023,0,NA,0
Pride Bites,2024,0,NA,0
Pride Bites,2025,0,NA,0
Pride Headbands,2016,0,NA,0
Pride Headbands,2017,0,NA,0
Pride Headbands,2018,0,NA,0
Pride Headbands,2019,0,NA,0
Pride Headbands,2020,0,NA,0
Pride Headbands,2021,0,NA,0
Pride Headbands,2022,0,NA,0
