keyword,year,category
Pride sunglasses,2018,Zero
Pride sunglasses,2019,Zero
Pride sunglasses,2020,Zero
Pride sunglasses,2021,Zero
Pride sunglasses,2022,100–500
Pride sunglasses,2023,100–500
Pride sunglasses,2024,100–500
Pride sunglasses,2025,>0–100
Pride wrist strap,2016,Zero
Pride wrist strap,2017,Zero
Pride wrist strap,2018,Zero
Pride wrist strap,2019,Zero
Pride wrist strap,2020,Zero
Pride wrist strap,2021,Zero
Pride wrist strap,2022,Zero
Pride wrist strap,2023,Zero
Pride wrist strap,2024,Zero
Pride wrist strap,2025,>0–100
Rainbow gay pride,2016,Zero
Rainbow gay pride,2017,Zero
Rainbow gay pride,2018,>0–100
Rainbow gay pride,2019,Zero
Rainbow gay pride,2020,100–500
Rainbow gay pride,2021,Zero
Rainbow gay pride,2022,Zero
Rainbow gay pride,2023,Zero
Rainbow gay pride,2024,Zero
Rainbow gay pride,2025,Zero
Rainbow pride,2016,Zero
Rainbow pride,2017,Zero
Rainbow pride,2018,>0–100
Rainbow pride,2019,500–1000
Rainbow pride,2020,>0–100
Rainbow pride,2021,100–500
Rainbow pride,2022,>0–100
Rainbow pride,2023,500–1000
Rainbow pride,2024,>0–100
Rainbow pride,2025,>0–100
Trans pride coffee,2016,Zero
Trans pride coffee,2017,Zero
Trans pride coffee,2018,Zero
Trans pride coffee,2019,Zero
Trans pride coffee,2020,100–500
Trans pride coffee,2021,Zero
Trans pride coffee,2022,Zero
Trans pride coffee,2023,Zero
Trans pride coffee,2024,Zero
Trans pride coffee,2025,Zero
