keyword,year,value
PRIDE PINS,2024,0
PRIDE PINS,2025,39
PRIDE RAINBOW,2016,0
PRIDE RAINBOW,2017,0
PRIDE RAINBOW,2018,0
PRIDE RAINBOW,2019,0
PRIDE RAINBOW,2020,0
PRIDE RAINBOW,2021,0
PRIDE RAINBOW,2022,424
PRIDE RAINBOW,2023,0
PRIDE RAINBOW,2024,0
PRIDE RAINBOW,2025,0
PRIDE SLIDES,2016,0
PRIDE SLIDES,2017,0
PRIDE SLIDES,2018,0
PRIDE SLIDES,2019,0
PRIDE SLIDES,2020,0
PRIDE SLIDES,2021,0
PRIDE SLIDES,2022,0
PRIDE SLIDES,2023,0
PRIDE SLIDES,2024,0
PRIDE SLIDES,2025,0
PRIDE SUNGLASSES,2016,0
PRIDE SUNGLASSES,2017,0
PRIDE SUNGLASSES,2018,0
PRIDE SUNGLASSES,2019,0
PRIDE SUNGLASSES,2020,0
PRIDE SUNGLASSES,2021,0
PRIDE SUNGLASSES,2022,330
PRIDE SUNGLASSES,2023,225
PRIDE SUNGLASSES,2024,184
PRIDE SUNGLASSES,2025,43
PRIDE WRIST STRAP,2016,0
PRIDE WRIST STRAP,2017,0
PRIDE WRIST STRAP,2018,0
PRIDE WRIST STRAP,2019,0
PRIDE WRIST STRAP,2020,0
PRIDE WRIST STRAP,2021,0
PRIDE WRIST STRAP,2022,0
PRIDE WRIST STRAP,2023,0
PRIDE WRIST STRAP,2024,0
PRIDE WRIST STRAP,2025,72
RAINBOW GAY PRIDE,2016,0
RAINBOW GAY PRIDE,2017,0
RAINBOW GAY PRIDE,2018,32
RAINBOW GAY PRIDE,2019,0
RAINBOW GAY PRIDE,2020,104
RAINBOW GAY PRIDE,2021,0
RAINBOW GAY PRIDE,2022,0
RAINBOW GAY PRIDE,2023,0
RAINBOW GAY PRIDE,2024,0
RAINBOW GAY PRIDE,2025,0
RAINBOW PRIDE,2016,0
RAINBOW PRIDE,2017,0
RAINBOW PRIDE,2018,42
RAINBOW PRIDE,2019,904
RAINBOW PRIDE,2020,17
RAINBOW PRIDE,2021,402
RAINBOW PRIDE,2022,52
RAINBOW PRIDE,2023,877
RAINBOW PRIDE,2024,57
RAINBOW PRIDE,2025,49
TRANS PRIDE COFFEE,2016,0
TRANS PRIDE COFFEE,2017,0
TRANS PRIDE COFFEE,2018,0
TRANS PRIDE COFFEE,2019,0
TRANS PRIDE COFFEE,2020,168
TRANS PRIDE COFFEE,2021,0
TRANS PRIDE COFFEE,2022,0
TRANS PRIDE COFFEE,2023,0
TRANS PRIDE COFFEE,2024,0
TRANS PRIDE COFFEE,2025,0
